lineno,sno,origWord,Synonym,imp,uniqCount,freq,freqcorrection,type,class,base weight,adj. weight,title
10029,98,safety,safe,2,1,219,200,noun,class,1000,5, diamagnetic water filtration health water pure magnetic water chemistry safety engineering 
18817,20,agriculture,farm,2,1,217,200,noun,class,1000,5, is it time to roundup those gmos genetic agriculture biology environment biology 
13217,36,neuroscience,neuroscience,2,1,208,200,pronoun,class,1000,5, effects of the xenoestrogen bisphenol a on behavior in daphnia chemical chemical organic organism microbiology crustacean biochem neuroscience behavioralandsocial 
7092,11,infection,infect,2,1,202,200,noun,class,1000,5, co infection of borrelia burgdorfer and wolbachia in ixodus scapularis bacteria microbiology infectious organism microbiology bacteria borrelia organism microbiology infectious organism tick arachnid lyme organism tick arachnid lyme microbiology infectious biology 
34093,6,physics,physics,2,1,202,200,pronoun,class,1000,5, unveiling the power of super massive black holes in distant galaxies astronomy physics energy astronomy physics 
22838,5,electronics,electronic,3,1,192,200,noun,class,100,0.5, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
12991,52,d.melanogaster,d.melanogaster,,1,179,200,pronoun,,80,0.4, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
4329,39,food,food,2,1,178,200,noun,class,500,2.5, antioxidant level in dried fruits chemical nutrition food nutrition chemistry nutrition biology 
8101,32,behavioralandsocial,behavioralandsocial,2,1,171,200,noun,class,1000,5, creating a micro pipetting protocol to reduce human error method method organism mammal human behaviour logistics behavioralandsocial 
12987,52,acoustics,acoustic,1,1,165,200,noun,class,1000,5, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
32395,26,marine,marine,5,1,149,100,noun,class,50,0.5, the ocean methane paradox detecting methylphosphonate in seawater marine chemical chemical marine chemistry environment chemistry 
9587,76,pure,filter,2,1,147,100,noun,class,1000,10, developing a cost effective solar power surgical sterilization system energy energy medical pure clean mechanical medical engineering 
32611,125,electric,electric,3,1,145,100,noun,class,100,1, the power output of hydro electric generator prototypes energy energy water mechanical energy environment 
7086,11,bacteria,bacteria,3,1,144,100,pronoun,class,1000,10, co infection of borrelia burgdorfer and wolbachia in ixodus scapularis bacteria microbiology infectious organism microbiology bacteria borrelia organism microbiology infectious organism tick arachnid lyme organism tick arachnid lyme microbiology infectious biology 
18393,33,insect,insect,5,1,136,100,pronoun,class,1000,10, insect ecology organic vs agricultural pesticide agriculture chemical chemical pollute organism insect chemistry environment environment 
13675,8,protein,protein,4,1,134,100,noun,class,50,0.5, endothelial differentiation of ckit cpcs on fibrin hydrogel scaffold gene protein chemical organic organ blood protein cell bio biology 
28969,3,cellbio,cellbio,4,1,131,100,pronoun,class,1000,10, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
5215,19,analysis,analyze,4,1,127,100,verb,,5,0.05, base 1.5 analysis of properties and relation to collatz math math 
32392,26,detecting,sense,2,1,123,100,verb,,50,0.5, the ocean methane paradox detecting methylphosphonate in seawater marine chemical chemical marine chemistry environment chemistry 
12612,72,degrade,degrade,3,1,121,100,verb,,10,0.1, effects of cell dissociation methods on induced pluripotent stem cells cellbio cellbio cellbio degrade method cell biology biology 
7361,54,efficient,efficacy,,1,119,100,noun,,2,0.02, comparing plant phyllotaxes towards designing efficient solar panels energy method organism plant ecology energy environment 
13659,8,bio,bio,,1,118,100,noun,,2,0.02, endothelial differentiation of ckit cpcs on fibrin hydrogel scaffold gene protein chemical organic organ blood protein cell bio biology 
12065,17,transportation,travel,2,1,117,100,verb,,50,0.5, effect of sail section profile on lift to drag ratio aerodynamic transportation transportation boat wind mechanical transportation engineering 
28968,3,cell,cell,,1,116,100,noun,,2,0.02, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
28971,3,development,build,4,1,116,100,verb,,5,0.05, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
13774,15,light,light,,1,112,100,noun,,2,0.02, engineering infrared remote controlled nano robots for cancer therapy disease medical drug medical light electronics medical engineering 
2563,4,material,material,3,1,110,100,noun,class,100,1, a sticky situation material glue chemistry chemistry 
22840,5,human,human,,1,102,100,pronoun,,80,0.8, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
1013,167,sports,sports,2,1,99,100,noun,class,1000,10, quality cost effective alternative materials for a trombone device music art acoustic material chemistry sports engineering 
4735,135,household,house,2,1,97,100,noun,,20,0.2, assault prevention umbrella device security mechanical household engineering 
12372,47,growth,grow,3,1,97,100,verb,,10,0.1, effects of abscisic and indole acetic acid on vetiver root growth chemical chemical hormone plant chemical organic chemical organic plant hormone plant organism biochem agriculture biology 
13007,52,system,system,,1,94,100,noun,,2,0.02, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
10186,116,social,social,3,1,92,100,noun,class,100,1, dissecting the social trend of using skin whitening products organ chemical behaviour social behavioralandsocial 
30695,106,temperature,temperature,1,1,89,100,noun,,30,0.3, the effects of global warming on coral reefs marine organism marine temperature microbiology climate environment ecology environment 
10026,98,health,health,3,1,89,100,noun,class,100,1, diamagnetic water filtration health water pure magnetic water chemistry safety engineering 
26142,71,impact,impact,,1,88,100,noun,,2,0.02, starvation in c.elegans the impact on rna interference chemical gene organic food nutrition organism microbiology worm genetics cellbio biology 
5219,19,math,math,1,1,86,80,noun,class,1000,12.5, base 1.5 analysis of properties and relation to collatz math math 
28977,3,organic,organic,5,1,86,80,noun,class,50,0.625, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
23044,9,toxicity,toxin,3,1,83,80,noun,class,100,1.25, plasticizer toxicity the effect of bisphenol and diethyl phthalate pollute toxin chemical chemical organic chemical plastic pollute chemistry environment environment 
22843,5,mammal,mammal,4,1,83,80,noun,class,50,0.625, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
1401,82,location,place,5,1,83,80,noun,class,50,0.625, the effect of climate change on tree ring growth in plymouth ma location location organism plant environment environment environment 
8320,7,cancer,cancer,1,1,77,80,noun,class,1000,12.5, curcumin vs cancer the effects of curcumin on breast cancer cells cellbio chemical drug plant tumeric disease medical organ human biochem cancer biology 
6693,86,learning,learn,,1,77,80,noun,,2,0.025, carnitine and coq10 on memory and learning in hermissenda crassicornis behaviour chemical chemical neuroscience behaviour organism marine slug organism marine slug biochem neuroscience behavioralandsocial 
11078,16,diagnosis,diagnose,2,1,74,80,noun,class,1000,12.5, early diagnosis of viral infections by molecular inversion probes infectious medical organism microbiology diagnostic microbiology medical biology 
23173,78,generation,generate,4,1,74,80,verb,,5,0.0625, power generation from bio waste earth worm edition energy organism worm ecology energy environment 
15718,38,weather,weather,1,1,71,80,noun,,30,0.375, green roofs and storm water mitigation civil engineering architecture environment water weather environment civil environment environment 
5045,24,robotics,robot,2,1,66,60,noun,,20,0.333333333, legged locomotion over rough terrain ground transportation mechanical robotics engineering 
11090,16,viral,virus,,1,66,60,pronoun,,80,1.333333333, early diagnosis of viral infections by molecular inversion probes infectious medical organism microbiology diagnostic microbiology medical biology 
5049,816,aiml,aiml,2,1,65,60,pronoun,class,1000,16.66666667, autonomous fire detection robot device electronics engineering safety aiml compsci robotics engineering 
1312,30,fungus,fungus,,1,65,60,pronoun,,80,1.333333333, synthesis of rfuralaxyl an enantiopure fungicide chemical chemical fungal anti chemical infectious fungus chemistry biochem microbiology biology 
20947,111,psychology,psychology,,1,64,60,pronoun,,80,1.333333333, music learning and impact on cognition acoustic art behaviour behaviour neuroscience acoustics psychology behavioralandsocial 
23140,49,model,model,,1,63,60,noun,,2,0.033333333, post lyme disease a novel treatment method in zebrafish model disease medical disease tick lyme insect method organism fish zebrafish microbiology medical biology 
1898,29,solar,solar,2,1,62,60,noun,,80,1.333333333, a cubesat telescope prototype for lunar and solar observations moon astronomy device astronomy device astronomy energy engineering astronomy engineering 
13844,143,enhancing,repair,3,1,62,60,verb,,10,0.166666667, enhancing energy energy physics energy engineering 
10889,255,vision,vision,1,1,59,60,noun,,30,0.5, does the package catch your eye marketing organ vision behaviour psychology behavioralandsocial 
12990,52,cardiovascular,cardiovascular,2,1,59,60,pronoun,class,1000,16.66666667, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
8064,290,app,tool,5,1,55,60,noun,class,50,0.833333333, creating a css based ergonomic website layout generator compsci app method compsci compsci computersci 
23040,9,plastic,plastic,1,1,54,50,noun,,30,0.6, plasticizer toxicity the effect of bisphenol and diethyl phthalate pollute toxin chemical chemical organic chemical plastic pollute chemistry environment environment 
34159,207,glucose,sugar,,1,54,50,pronoun,,80,1.6, use of gfp to measure glucose chemical chemical sugar biochem medical biology 
35420,31,acid,acid,,1,53,50,pronoun,,80,1.6, way over whey the effects of acid whey on the environment chemical chemical pollute chemistry environment environment 
24525,12,mitigation,reduce,4,1,53,50,verb,,5,0.1, reversing eutrophication understanding the effects of mitigation pollute toxin water environment environment 
15710,38,civil,civil,4,1,52,50,pronoun,class,1000,20, green roofs and storm water mitigation civil engineering architecture environment water weather environment civil environment environment 
5616,2160,2019ncov,covid19,,1,51,50,pronoun,,80,1.6, bio informatical analyses of the wuhan novel coronavirus 2019ncov location organism infectious covid virus organism infectious covid virus compsci medical computersci 
33793,10,slug,slug,,1,50,50,pronoun,,80,1.6, triclosan the snails achilles heel chemical organism slug mollusc ecology biology 
29425,81,rate,rate,3,1,49,50,noun,,20,0.4, the effect of pharmaceuticals on mortality rate of fresh water copepods drug chemical organism marine water biochem ecology environment 
21391,131,vaccine,immune,2,1,49,50,pronoun,class,1000,20, novel engineered oral vaccine against hiv aids disease infectious virus medical disease infectious virus medical infectious drug medical biochem medical biology 
34084,6,astronomy,astronomy,1,1,48,50,noun,class,1000,20, unveiling the power of super massive black holes in distant galaxies astronomy physics energy astronomy physics 
5217,19,base,base,2,1,47,50,noun,,20,0.4, base 1.5 analysis of properties and relation to collatz math math 
7359,54,designing,design,4,1,47,50,verb,,5,0.1, comparing plant phyllotaxes towards designing efficient solar panels energy method organism plant ecology energy environment 
19985,114,algae,algae,,1,46,50,pronoun,,80,1.6, maximizing the efficiency of spirulina cultivation organism microbiology algae agriculture biology 
25633,188,crime,crime,,1,46,50,pronoun,,80,1.6, smudging the truth finger print comparison method organ crime social behaviour chemistry security chemistry 
13213,36,daphnia,d.magna,,1,46,50,pronoun,,80,1.6, effects of the xenoestrogen bisphenol a on behavior in daphnia chemical chemical organic organism microbiology crustacean biochem neuroscience behavioralandsocial 
13649,133,inorganic,inorganic,3,1,44,40,noun,class,100,2.5, utilizing flk gcamp3 zebrafish to investigate vascular calcium signals chemical inorganic organ organism fish zebrafish protein biochem genetics biology 
18826,20,time,time,3,1,44,40,noun,,20,0.5, is it time to roundup those gmos genetic agriculture biology environment biology 
5582,104,fuel,fuel,,1,44,40,pronoun,,80,2, bio fuel boom or bust energy environment energy environment 
26153,71,worm,worm,,1,44,40,pronoun,,80,2, starvation in c.elegans the impact on rna interference chemical gene organic food nutrition organism microbiology worm genetics cellbio biology 
11445,134,antibiotic,antibiotic,,1,43,40,pronoun,,80,2, effect of electric current on antibiotic efficacy chemical drug infectious electric biochem medical biology 
20938,111,art,art,1,1,42,40,noun,class,1000,25, music learning and impact on cognition acoustic art behaviour behaviour neuroscience acoustics psychology behavioralandsocial 
24927,222,metal,metal,3,1,42,40,noun,,20,0.5, sodium chloride or not chemical inorganic chemical metal inorganic chemistry environment 
13914,65,carbon,carbon,,1,42,40,pronoun,,80,2, environmental variables effect on carbon release from pemafrost arctic environment earth chemical organic environment environment 
13212,36,crustacean,crustacean,,1,42,40,pronoun,,80,2, effects of the xenoestrogen bisphenol a on behavior in daphnia chemical chemical organic organism microbiology crustacean biochem neuroscience behavioralandsocial 
13916,65,earth,earth,2,1,41,40,pronoun,class,1000,25, environmental variables effect on carbon release from pemafrost arctic environment earth chemical organic environment environment 
6695,86,memory,memory,2,1,40,40,noun,,20,0.5, carnitine and coq10 on memory and learning in hermissenda crassicornis behaviour chemical chemical neuroscience behaviour organism marine slug organism marine slug biochem neuroscience behavioralandsocial 
31070,144,respire,respire,2,1,40,40,verb,,50,1.25, the effects of nitrate pollutants and hypoxic conditions on d.magna chemical inorganic organism microbiology crustacean pollute respire oxygen disease biochem environment 
30697,106,warming,heat,2,1,39,40,noun,,20,0.5, the effects of global warming on coral reefs marine organism marine temperature microbiology climate environment ecology environment 
25668,160,optimal,optimal,,1,39,40,noun,,2,0.05, snake venom optimal dosage to prevent cancer cell proliferation pollute toxin cellbio disease medical drug organism reptile biochem medical biology 
1395,82,change,change,4,1,39,40,verb,,5,0.125, the effect of climate change on tree ring growth in plymouth ma location location organism plant environment environment environment 
12546,73,planaria,planaria,,1,38,40,pronoun,,80,2, effects of bpa on planaria regeneration chemical toxin plastic organic organism slug biochem development biology 
13767,15,controlled,control,4,1,38,40,verb,,5,0.125, engineering infrared remote controlled nano robots for cancer therapy disease medical drug medical light electronics medical engineering 
23332,136,predicting,predict,4,1,38,40,verb,,5,0.125, predicting the next amazon bestseller finance social behaviour compsci finance behavioralandsocial 
26838,127,testing,test,4,1,38,40,verb,,5,0.125, testing for genetic modifications in organic and non organic foods chemical genetic gene nutrition food genetics nutrition biology 
13005,52,prenatal,baby,2,1,36,40,noun,,20,0.5, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
8109,32,micro,micro,2,1,36,40,noun,,20,0.5, creating a micro pipetting protocol to reduce human error method method organism mammal human behaviour logistics behavioralandsocial 
4330,39,fruits,fruit,3,1,36,40,noun,class,100,2.5, antioxidant level in dried fruits chemical nutrition food nutrition chemistry nutrition biology 
26136,71,c.elegans,c.elegans,,1,36,40,pronoun,,80,2, starvation in c.elegans the impact on rna interference chemical gene organic food nutrition organism microbiology worm genetics cellbio biology 
10027,98,magnetic,magnetic,,1,36,40,pronoun,,80,2, diamagnetic water filtration health water pure magnetic water chemistry safety engineering 
33543,74,study,study,3,1,36,40,verb,,10,0.25, tolerance study effect of ocean acidification on cassiopea andromeda marine chemical organism marine crab crustacean chemistry ecology environment 
9601,378,resistant,resistant,1,1,35,30,noun,,30,1, developing a debris resistant hydro kinetic turbine device energy energy water mechanical energy engineering 
917,64,natural,natural,,1,35,30,noun,,2,0.066666667, miraculous moringa oleifera seeds effective natural economical finance organism plant plant organism plant organism agriculture biology 
6,23,active,action,3,1,35,30,verb,,10,0.333333333, a new method for identifying active regulatory dna elements phase ii genetic method genetics funda biology 
7358,54,comparing,compare,4,1,35,30,verb,,5,0.166666667, comparing plant phyllotaxes towards designing efficient solar panels energy method organism plant ecology energy environment 
1304,30,anti,anti,,1,34,30,noun,,2,0.066666667, synthesis of rfuralaxyl an enantiopure fungicide chemical chemical fungal anti chemical infectious fungus chemistry biochem microbiology biology 
13661,8,blood,blood,,1,34,30,pronoun,,80,2.666666667, endothelial differentiation of ckit cpcs on fibrin hydrogel scaffold gene protein chemical organic organ blood protein cell bio biology 
11865,576,e.coli,e.coli,,1,34,30,pronoun,,80,2.666666667, effect of natural versus pharmaceutical antibiotics on e.coli bacteria chemical drug infectious drug chemical organism microbiology bacteria organism microbiology bacteria biochem microbiology biology 
20944,111,music,music,2,1,33,30,noun,class,1000,33.33333333, music learning and impact on cognition acoustic art behaviour behaviour neuroscience acoustics psychology behavioralandsocial 
12051,17,aerodynamic,aerodynamic,,1,33,30,pronoun,,80,2.666666667, effect of sail section profile on lift to drag ratio aerodynamic transportation transportation boat wind mechanical transportation engineering 
1001,167,alternative,alternate,,1,31,30,noun,,2,0.066666667, quality cost effective alternative materials for a trombone device music art acoustic material chemistry sports engineering 
6821,18,characteristics,attribute,,1,31,30,noun,,2,0.066666667, characteristics of deleterious mutations in tumor suppressor genes disease cancer medical genetic gene genetic gene genetics biology 
4332,39,level,level,,1,31,30,noun,,2,0.066666667, antioxidant level in dried fruits chemical nutrition food nutrition chemistry nutrition biology 
12989,52,cardiac,heart,2,1,31,30,pronoun,,80,2.666666667, effects of prenatal noise exposure on d.melanogaster cardiac system organ cardiovascular organism mammal human organism insect fruitfly drosophila sound acoustics development biology 
21054,101,nacl,salt,,1,31,30,pronoun,,80,2.666666667, nacl separation using a nano porous graphene oxide chemical chemical chemical carbon chemistry chemistry 
11660,157,enzyme,enzyme,1,1,30,30,noun,,30,1, effect of hydroxyapatite and saliva on in vitro multi species bio films microbiology chemical chemical enzyme chemistry microbiology biology 
32398,26,ocean,ocean,1,1,30,30,noun,,30,1, the ocean methane paradox detecting methylphosphonate in seawater marine chemical chemical marine chemistry environment chemistry 
12548,73,regeneration,regenerate,3,1,30,30,verb,,10,0.333333333, effects of bpa on planaria regeneration chemical toxin plastic organic organism slug biochem development biology 
298,446,automated,automatic,,1,29,30,noun,,2,0.066666667, check a1c an ios app for automated diabetes management compsci disease cardiovascular medical protein diabetes sugar compsci cardiovasc computersci 
22211,633,technology,technique,,1,29,30,noun,,2,0.066666667, pass the sodium chloride a working study of desalination technology chemical chemical method salt water environment environment environment 
10661,156,dioxide,dioxide,,1,29,30,pronoun,,80,2.666666667, does carbon dioxide raise the temperature in the atmosphere chemical chemical earth climate pollute chemistry environment environment 
22841,5,identify,identify,4,1,29,30,verb,,5,0.166666667, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
15709,38,architecture,architecture,1,1,28,30,noun,class,1000,33.33333333, green roofs and storm water mitigation civil engineering architecture environment water weather environment civil environment environment 
914,64,finance,finance,1,1,28,30,noun,class,1000,33.33333333, miraculous moringa oleifera seeds effective natural economical finance organism plant plant organism plant organism agriculture biology 
27694,690,particle,particle,,1,28,30,noun,,2,0.066666667, the effect of added macro molecules and chemical spray on keratinocytes chemical organ spray particle biochem cellbio biology 
5056,816,fire,fire,,1,28,30,pronoun,,80,2.666666667, autonomous fire detection robot device electronics engineering safety aiml compsci robotics engineering 
13776,15,nano,nano,,1,28,30,pronoun,,80,2.666666667, engineering infrared remote controlled nano robots for cancer therapy disease medical drug medical light electronics medical engineering 
24576,172,ph,ph,,1,28,30,pronoun,,80,2.666666667, ridding the world of red tide effect ph has on alga blooms chemistry organism plant microbiology chemistry ecology environment 
10185,116,skin,skin,,1,28,30,pronoun,,80,2.666666667, dissecting the social trend of using skin whitening products organ chemical behaviour social behavioralandsocial 
24930,222,sodium,sodium,,1,28,30,pronoun,,80,2.666666667, sodium chloride or not chemical inorganic chemical metal inorganic chemistry environment 
26051,433,solution,answer,,1,27,30,noun,,2,0.066666667, spreading a comprehensive solution to speed reading language education behaviour psychology behavioralandsocial 
6832,18,suppressor,stop,,1,27,30,noun,,2,0.066666667, characteristics of deleterious mutations in tumor suppressor genes disease cancer medical genetic gene genetic gene genetics biology 
13656,133,utilizing,usage,,1,27,30,noun,,2,0.066666667, utilizing flk gcamp3 zebrafish to investigate vascular calcium signals chemical inorganic organ organism fish zebrafish protein biochem genetics biology 
27056,509,automobile,automobile,,1,27,30,pronoun,,80,2.666666667, texting while driving a national study language transportation automobile safety behaviour neuroscience behavioralandsocial 
2534,55,finding,find,,1,26,30,noun,,2,0.066666667, a step towards personalized medicine finding disease causing genes disease medical drug medical genetic gene genetics medical biology 
5134,1112,network,network,,1,26,30,pronoun,,80,2.666666667, awareness the functionality distribution network behaviour psychology behavioralandsocial 
12084,750,axonal,neuron,,1,26,30,pronoun,,80,2.666666667, effect of stimuli on axonal regeneration rate in d.tigrina organ neuroscience organism planaria dugesia slug biology neuroscience biology 
34255,1,oil,oil,,1,26,30,pronoun,,80,2.666666667, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
21056,101,oxide,oxidant,,1,26,30,pronoun,,80,2.666666667, nacl separation using a nano porous graphene oxide chemical chemical chemical carbon chemistry chemistry 
6221,249,photo,photo,,1,26,30,pronoun,,80,2.666666667, building an algae photo bioreactor from recyled water bottles device device light organism plant microbiology water energy ecology environment environment 
27195,2,medicine,therapy,,1,26,30,pronoun,,80,2.666666667, the allelopathic effects of c.orbiculatus and f.japonica drug organism plant organism plant medicine biology 
13432,148,statistics,statistics,2,1,25,20,noun,class,1000,50, electric power load prediction for new england area energy energy location statistics energy engineering 
23176,78,waste,waste,3,1,25,20,noun,,20,1, power generation from bio waste earth worm edition energy organism worm ecology energy environment 
4430,63,applying,apply,,1,25,20,noun,,2,0.1, applying a fuzzy logic controller to the inverted pendulum system compsci physics engineering 
8607,328,deep,deep,,1,25,20,noun,,2,0.1, deep knee bends measuring knee stress with a mechanical model organ mechanical medical engineering 
25565,67,smart,smart,,1,25,20,noun,,2,0.1, smart prt system by quantum locking and super conductivity atom physics physics engineering 
25399,191,a.salina,a.salina,,1,25,20,pronoun,,80,4, shrimp shell clotting blood organism marine artemia a.salina biochem medical biology 
24924,222,chloride,chlorine,,1,25,20,pronoun,,80,4, sodium chloride or not chemical inorganic chemical metal inorganic chemistry environment 
14244,210,turbines,turbine,,1,25,20,pronoun,,80,4, exploring wind turbines device energy environment mechanical energy engineering 
9578,76,clean,clean,2,1,25,20,verb,,50,2.5, developing a cost effective solar power surgical sterilization system energy energy medical pure clean mechanical medical engineering 
12066,17,wind,wind,1,1,24,20,noun,,30,1.5, effect of sail section profile on lift to drag ratio aerodynamic transportation transportation boat wind mechanical transportation engineering 
12615,72,induced,induced,3,1,24,20,noun,,20,1, effects of cell dissociation methods on induced pluripotent stem cells cellbio cellbio cellbio degrade method cell biology biology 
34259,1,prevent,prevent,3,1,24,20,noun,,20,1, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
11,23,funda,funda,4,1,24,20,noun,class,50,2.5, a new method for identifying active regulatory dna elements phase ii genetic method genetics funda biology 
1998,25,aid,help,,1,24,20,noun,,2,0.1, a mobility aid for the disabled and elderly mature medtech medical engineering 
18211,34,type,type,,1,24,20,noun,,2,0.1, inhibiting luxl luxr type quorum sensing a novel approach method microbiology biology 
4803,176,patients,patient,,1,24,20,pronoun,,80,4, assisting elderly and epileptic patients using smart sensor disease neuroscience medical mature organism human mammal medical device electronics medical engineering 
30547,212,additives,add,3,1,24,20,verb,,10,0.5, the effects of common food additives on worm output chemical organism worm chemistry ecology environment 
27043,221,language,language,1,1,23,20,noun,class,1000,50, texting vs talking the effects of cell phones on reaction time language safety behaviour neuroscience behavioralandsocial 
26215,37,stress,stress,3,1,23,20,noun,,20,1, stiletto stress physics physics 
8475,452,data,data,,1,23,20,noun,,2,0.1, data mining nitric oxide synthases role in pancreatic cell death cellbio chemical chemical inorganic enzyme protein chemical medical organ cardiovascular diabetes statistics cardiovasc biology 
30825,309,increased,increase,,1,23,20,noun,,2,0.1, the effects of increased temperature and algae on coral organism marine organism plant microbiology climate environment ecology environment 
6830,18,mutations,mutant,,1,23,20,pronoun,,80,4, characteristics of deleterious mutations in tumor suppressor genes disease cancer medical genetic gene genetic gene genetics biology 
27047,221,phones,phone,,1,23,20,pronoun,,80,4, texting vs talking the effects of cell phones on reaction time language safety behaviour neuroscience behavioralandsocial 
30204,230,physiology,physiology,,1,23,20,pronoun,,80,4, the effectiveness of antacids in neutralizing stomach acid chemical chemical drug gastric organ biochem physiology biology 
23927,129,colorful,color,2,1,22,20,noun,,20,1, rainbow bacteria a colorful journey organism microbiology bacteria microbiology biology 
25066,92,saving,save,2,1,22,20,noun,,20,1, saving the world one drop at a time water conservation civil environment engineering 
23133,49,fish,fish,3,1,22,20,noun,,20,1, post lyme disease a novel treatment method in zebrafish model disease medical disease tick lyme insect method organism fish zebrafish microbiology medical biology 
19962,337,functions,function,,1,22,20,noun,,2,0.1, mathematical relationships between alternating bijective functions math math 
13925,65,variables,variable,,1,22,20,noun,,2,0.1, environmental variables effect on carbon release from pemafrost arctic environment earth chemical organic environment environment 
36322,201,yeast,s.cereviseae,,1,22,20,pronoun,,80,4, yeast busters organism microbiology fungus microbiology biology 
14242,210,exploring,explore,3,1,22,20,verb,,10,0.5, exploring wind turbines device energy environment mechanical energy engineering 
